Series Name,Series Code,Country Name,Country Code,Scale (Precision),2017Q2 [YR2017Q2],2017Q3 [YR2017Q3],2017Q4 [YR2017Q4],2018Q1 [YR2018Q1],2018Q2 [YR2018Q2],2018Q3 [YR2018Q3],2018Q4 [YR2018Q4],2019Q1 [YR2019Q1],2019Q2 [YR2019Q2]
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Argentina,ARG,Millions (0),204914,217510,234549,252896,261476,255490,277932,275748,283567
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Armenia,ARM,Millions (0),9943,9900,10525,10797,10585,10843,10914,11082,11473
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Australia,AUS,Millions (0),1492370,1518982,1550905,1565847,1533870,1494436,1498360,1503213,1484182
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Austria,AUT,Millions (0),663755,687304,684674,711904,677854,673947,655604,670087,693685
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Belarus,BLR,Millions (0),38975,39557,39929,39679,39062,39163,39289,38923,40071
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Belgium,BEL,Millions (0),1346401,1368484,1369307,1402970,1340989,1303995,1245018,1274014,1294425
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Brazil,BRA,Millions (0),666977,680784,667103,684773,648996,643228,665777,679602,697228
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Bulgaria,BGR,Millions (0),39898,40301,40923,42335,40368,40756,38813,39035,39528
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Canada,CAN,Millions (0),1842413,1891123,1967301,1953838,1944620,1968544,1979492,2002464,2090761
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Chile,CHL,Millions (0),169479,174043,180184,183411,177231,180188,184440,186963,193992
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,China,CHN,Millions (0),1557948,1675114,1757958,1889639,1917574,1968396,1965214,1971657,1998002
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Colombia,COL,Millions (0),120993,124419,124579,126853,126565,127519,131946,133246,134972
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Costa Rica,CRI,Millions (0),26347,26328,27142,28484,28443,28708,29097,29413,29206
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Croatia,HRV,Millions (0),49751,50984,52389,54630,51420,49631,48902,49046,50714
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Cyprus,CYP,Millions (0),247334,249920,258232,264536,245744,248314,239826,231292,236834
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Czech Republic,CZE,Millions (0),191589,201699,205363,208300,194064,197535,193868,190069,194146
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Denmark,DNK,Millions (0),519258,524263,547871,548400,520269,515747,491955,497315,517447
