filename,Currently Infected,Recovered,Deaths
2021-02-08,44673941,59298828,2320254
2020-01-22,510,30,17
2020-01-23,605,32,18
2020-01-24,876,39,26
2020-01-25,1349,42,42
2020-01-26,2006,56,56
2020-01-27,2780,65,82
2020-01-28,5339,108,131
2020-01-29,5907,127,133
2020-01-30,7919,145,171
2020-01-31,9489,225,213
2020-02-01,11492,287,259
2020-02-02,15949,476,362
2020-02-03,18834,627,426
2020-02-04,22549,857,492
2020-02-05,25950,1129,564
2020-02-06,28677,1492,634
2020-02-07,31661,2016,719
2020-02-08,33708,2616,806
2020-02-09,36009,3245,906
2020-02-10,37809,3947,1013
2020-02-11,39014,4684,1113
2020-02-12,38960,5151,1118
2020-02-13,52717,6294,1371
2020-02-14,57329,8057,1523
2020-02-15,57990,9396,1666
2020-02-16,58599,10866,1770
2020-02-17,58819,12583,1868
2020-02-18,58792,14352,2008
2020-02-19,57408,16121,2123
2020-02-20,55785,18179,2248
2020-02-21,55697,18892,2252
2020-02-22,53254,22889,2459
2020-02-23,53118,23394,2470
2020-02-24,51689,25227,2630
2020-02-25,49784,27905,2710
2020-02-26,48219,30386,2771
2020-02-27,46644,33278,2814
2020-02-28,44539,36710,2873
2020-02-29,43290,39781,2942
2020-03-01,42681,42717,2996
2020-03-02,41691,45601,3085
2020-03-03,41585,48227,3160
2020-03-04,40856,51169,3255
2020-03-05,40947,53795,3349
2020-03-06,42681,55863,3460
2020-03-07,44178,58357,3564
2020-03-08,45551,60694,3803
2020-03-09,47734,62493,3993
2020-03-10,50375,64400,4267
2020-03-11,55097,66998,4611
2020-03-12,59259,68321,4917
2020-03-13,71219,70248,5414
2020-03-14,79507,72620,5834
2020-03-15,86734,76031,6475
2020-03-16,98776,78086,7153
2020-03-17,111122,80830,7966
2020-03-18,127297,83316,8871
2020-03-19,151586,84958,9981
2020-03-20,178436,87403,11463
2020-03-21,204472,91650,13181
2020-03-22,231370,97868,14855
2020-03-23,271791,98337,16799
2020-03-24,301029,107977,19087
2020-03-25,343441,113758,21890
2020-03-26,394908,122132,24918
2020-03-27,447671,130917,28403
2020-03-28,502633,139430,32126
2020-03-29,548923,148888,35613
2020-03-30,594806,164225,39678
2020-03-31,653291,177819,44431
2020-04-01,714820,193096,50405
2020-04-02,774860,210243,56276
2020-04-03,836835,225672,62412
2020-04-04,868900,246086,68310
2020-04-05,922477,259927,73463
2020-04-06,972978,276644,79386
2020-04-07,1011272,299915,87642
2020-04-08,1058938,328805,94436
2020-04-09,1112892,354076,102223
2020-04-10,1169258,375836,109625
2020-04-11,1211098,402127,115801
2020-04-12,1305583,421528,121609
2020-04-13,1343122,448802,127528
2020-04-14,1395034,473879,134506
2020-04-15,1427146,510452,142965
2020-04-16,1484506,541367,150241
2020-04-17,1537944,567551,158615
2020-04-18,1585157,591431,164759
2020-04-19,1624792,623201,169959
2020-04-20,1672809,645364,175797
2020-04-21,1706458,680167,183094
2020-04-22,1750770,710269,189926
2020-04-23,1799470,738990,196751
2020-04-24,1826796,789016,203493
2020-04-25,1875662,816784,209116
2020-04-26,1914570,845533,213045
2020-04-27,1952209,873384,217747
2020-04-28,1987980,906575,224325
2020-04-29,2016218,948621,231151
2020-04-30,2028565,1013707,237200
2020-05-01,2073659,1051859,242330
2020-05-02,2106753,1092496,247799
2020-05-03,2147191,1124992,251238
2020-05-04,2186663,1159052,255395
2020-05-05,2224825,1195524,261263
2020-05-06,2262191,1241640,267803
2020-05-07,2306102,1281136,273103
2020-05-08,2354422,1317552,278641
2020-05-09,2381888,1371019,282930
2020-05-10,2419573,1404817,286422
2020-05-11,2445881,1451694,289865
2020-05-12,2487801,1488760,295368
2020-05-13,2511762,1544632,300515
2020-05-14,2563165,1584306,305669
2020-05-15,2605587,1632391,310892
2020-05-16,2639367,1688798,315142
2020-05-17,2673258,1729800,318271
2020-05-18,2705815,1782698,321983
2020-05-19,2745851,1834745,326675
2020-05-20,2783946,1893735,331468
2020-05-21,2834665,1944967,336149
2020-05-22,2827262,2053519,341421
2020-05-23,2873239,2108363,345405
2020-05-24,2908933,2163894,348390
2020-05-25,2930767,2227597,349569
2020-05-26,2965348,2282754,353797
2020-05-27,2999672,2346096,358890
2020-05-28,3047468,2412964,363508
2020-05-29,3086443,2490248,368150
2020-05-30,3148474,2560712,372170
2020-05-31,3175723,2637100,374941
2020-06-01,3213707,2692028,378019
2020-06-02,3226824,2796139,382755
2020-06-03,3256554,2875228,388171
2020-06-04,3312403,2945289,393210
2020-06-05,3369864,3014476,397785
2020-06-06,3427569,3086678,401615
2020-06-07,3482097,3141781,404346
2020-06-08,3429293,3293379,408048
2020-06-09,3467290,3375655,412830
2020-06-10,3518136,3454853,417890
2020-06-11,3565615,3540727,422553
2020-06-12,3610454,3620454,426751
2020-06-13,3655694,3706350,430904
2020-06-14,3713792,3777166,434274
2020-06-15,3749779,3857428,437681
2020-06-16,3787280,3955293,444398
2020-06-17,3807039,4074122,449547
2020-06-18,3862025,4155281,454457
2020-06-19,3940838,4250274,460556
2020-06-20,3978252,4366130,464711
2020-06-21,4033267,4434816,468707
2020-06-22,4077450,4526445,472251
2020-06-23,4134870,4630509,477561
2020-06-24,4186506,4746253,482756
2020-06-25,4267299,4839133,487453
2020-06-26,4348136,4945116,492201
2020-06-27,4415507,5051403,496669
2020-06-28,4487028,5140608,499809
2020-06-29,4544101,5235188,503493
2020-06-30,4596332,5352527,508457
2020-07-01,4693058,5468441,513395
2020-07-02,4612955,5753376,518490
2020-07-03,4699523,5863264,523409
2020-07-04,4693169,6059030,527791
2020-07-05,4754341,6178395,531258
2020-07-06,4790760,6302084,535090
2020-07-07,4851074,6447109,541095
2020-07-08,4901849,6605167,546402
2020-07-09,4988627,6739791,551794
2020-07-10,5076540,6879231,557089
2020-07-11,5162493,7004923,561890
2020-07-12,5238948,7116760,565870
2020-07-13,5286147,7257080,569763
2020-07-14,5360463,7399328,575360
2020-07-15,5426630,7559139,580799
