filename,confirmed
2021-02-08,106246361
2020-01-22,557
2020-01-23,655
2020-01-24,941
2020-01-25,1433
2020-01-26,2118
2020-01-27,2927
2020-01-28,5578
2020-01-29,6167
2020-01-30,8235
2020-01-31,9927
2020-02-01,12038
2020-02-02,16787
2020-02-03,19887
2020-02-04,23898
2020-02-05,27643
2020-02-06,30803
2020-02-07,34396
2020-02-08,37130
2020-02-09,40160
2020-02-10,42769
2020-02-11,44811
2020-02-12,45229
2020-02-13,60382
2020-02-14,66909
2020-02-15,69052
2020-02-16,71235
2020-02-17,73270
2020-02-18,75152
2020-02-19,75652
2020-02-20,76212
2020-02-21,76841
2020-02-22,78602
2020-02-23,78982
2020-02-24,79546
2020-02-25,80399
2020-02-26,81376
2020-02-27,82736
2020-02-28,84122
2020-02-29,86013
2020-03-01,88394
2020-03-02,90377
2020-03-03,92972
2020-03-04,95280
2020-03-05,98091
2020-03-06,102004
2020-03-07,106099
2020-03-08,110048
2020-03-09,114220
2020-03-10,119042
2020-03-11,126706
2020-03-12,132497
2020-03-13,146881
2020-03-14,157961
2020-03-15,169240
2020-03-16,184015
2020-03-17,199918
2020-03-18,219484
2020-03-19,246525
2020-03-20,277302
2020-03-21,309303
2020-03-22,344093
2020-03-23,386927
2020-03-24,428093
2020-03-25,479089
2020-03-26,541958
2020-03-27,606991
2020-03-28,674189
2020-03-29,733424
2020-03-30,798709
2020-03-31,875541
2020-04-01,958321
2020-04-02,1041379
2020-04-03,1124919
2020-04-04,1183296
2020-04-05,1255867
2020-04-06,1329008
2020-04-07,1398829
2020-04-08,1482179
2020-04-09,1569191
2020-04-10,1654719
2020-04-11,1729026
2020-04-12,1848720
2020-04-13,1919452
2020-04-14,2003419
2020-04-15,2080563
2020-04-16,2176114
2020-04-17,2264110
2020-04-18,2341347
2020-04-19,2417952
2020-04-20,2493970
2020-04-21,2569719
2020-04-22,2650965
2020-04-23,2735211
2020-04-24,2819305
2020-04-25,2901562
2020-04-26,2973148
2020-04-27,3043340
2020-04-28,3118880
2020-04-29,3195990
2020-04-30,3279472
2020-05-01,3367848
2020-05-02,3447048
2020-05-03,3523421
2020-05-04,3601110
2020-05-05,3681612
2020-05-06,3771634
2020-05-07,3860341
2020-05-08,3950615
2020-05-09,4035837
2020-05-10,4110812
2020-05-11,4187440
2020-05-12,4271929
2020-05-13,4356909
2020-05-14,4453140
2020-05-15,4548870
2020-05-16,4643307
2020-05-17,4721329
2020-05-18,4810496
2020-05-19,4907271
2020-05-20,5009149
2020-05-21,5115781
2020-05-22,5222202
2020-05-23,5327007
2020-05-24,5421217
2020-05-25,5507933
2020-05-26,5601899
2020-05-27,5704658
2020-05-28,5823940
2020-05-29,5944841
2020-05-30,6081356
2020-05-31,6187764
2020-06-01,6283754
2020-06-02,6405718
2020-06-03,6519953
2020-06-04,6650902
2020-06-05,6782125
2020-06-06,6915862
2020-06-07,7028224
2020-06-08,7130720
2020-06-09,7255775
2020-06-10,7390879
2020-06-11,7528895
2020-06-12,7657659
2020-06-13,7792948
2020-06-14,7925232
2020-06-15,8044888
2020-06-16,8186971
2020-06-17,8330708
2020-06-18,8471763
2020-06-19,8651668
2020-06-20,8809093
2020-06-21,8936790
2020-06-22,9076146
2020-06-23,9242940
2020-06-24,9415515
2020-06-25,9593885
2020-06-26,9785453
2020-06-27,9963579
2020-06-28,10127445
2020-06-29,10282782
2020-06-30,10457316
2020-07-01,10674894
2020-07-02,10884821
2020-07-03,11086196
2020-07-04,11279990
2020-07-05,11463994
2020-07-06,11627934
2020-07-07,11839278
2020-07-08,12053418
2020-07-09,12280212
2020-07-10,12512860
2020-07-11,12729306
2020-07-12,12921578
2020-07-13,13112990
2020-07-14,13335151
2020-07-15,13566568
2020-07-16,13817861
2020-07-17,14060577
2020-07-18,14296736
2020-07-19,14510165
2020-07-20,14717247
2020-07-21,14950887
2020-07-22,15230733
2020-07-23,15513557
2020-07-24,15794588
2020-07-25,16048624
2020-07-26,16261732
2020-07-27,16488125
2020-07-28,16740889
2020-07-29,17032562
2020-07-30,17312621
